| Metric   | Filters   | scrc-rcsc-prom                                                          | eng-prom                                         | chi-prom                                          | kor-prom                                                            | jap-prom                                                               | right-center-prom                                                                            |
| MaxTR    | I         | [[36, 21, 11, 10, 10, 9]]/[[36, 26, 25, 25, 9, 5]]                      | [[21, 7, 6]]/[[21, 11, 10, 10, 9]]               | [[20, 12, 12, 7]]/[[20, 12, 12, 3, 3]]            | [[22, 13, 13, 7, 3, 3, 3, 3]]/[[22, 13, 13, 4, 3, 3, 3]]            | [[22, 13, 13, 7, 3, 3, 3, 3]]/[[22, 13, 13, 4, 4, 3, 3, 3]]            | [[21, 19, 19, 14, 12, 12, 11, 11, 10]]/[[33, 23, 22, 22, 9, 8, 8, 7, 7]]                     |
| MaxTR    | IP        | [[36, 21, 11, 10]]/[[36, 26, 25, 5]]                                    | [[21, 6]]/[[21, 11, 10]]                         | [[20, 12]]/[[20, 12, 3]]                          | [[22, 13, 3, 3]]/[[22, 13, 4, 3]]                                   | [[22, 13, 3, 3]]/[[22, 13, 4, 3]]                                      | [[21, 19, 14, 12, 11]]/[[33, 23, 22, 9, 8]]                                                  |
| MaxTR    | IPU       | [[]]/[[]]                                                               | [[]]/[[]]                                        | [[]]/[[]]                                         | [[]]/[[]]                                                           | [[]]/[[]]                                                              | [[]]/[[]]                                                                                    |
| MaxTR    | IU        | [[10, 9]]/[[25, 9]]                                                     | [[7]]/[[10, 9]]                                  | [[12, 7]]/[[12, 3]]                               | [[13, 7, 3, 3]]/[[13, 3, 3]]                                        | [[13, 7, 3, 3]]/[[13, 4, 3, 3]]                                        | [[19, 12, 11, 10]]/[[22, 8, 7, 7]]                                                           |
| MaxTR    | P         | [[36, 36, 21, 21, 11, 10, 7]]/[[36, 36, 26, 25, 7, 5, 5]]               | [[21, 21, 6, 6]]/[[21, 21, 11, 10, 7]]           | [[20, 20, 12]]/[[20, 20, 12, 3, 3]]               | [[22, 21, 13, 3, 3]]/[[22, 21, 13, 4, 3, 3]]                        | [[22, 21, 13, 3, 3]]/[[22, 21, 13, 4, 3, 3]]                           | [[21, 19, 14, 13, 12, 11, 9, 8]]/[[33, 33, 23, 22, 9, 8, 5, 5]]                              |
| MaxTR    | PU        | [[36, 21, 7]]/[[36, 7, 5]]                                              | [[21, 6]]/[[21, 7]]                              | [[20]]/[[20, 3]]                                  | [[21]]/[[21, 3]]                                                    | [[21]]/[[21, 3]]                                                       | [[13, 9, 8]]/[[33, 5, 5]]                                                                    |
| MaxTR    | U         | [[36, 21, 10, 9, 7]]/[[36, 25, 9, 7, 5]]                                | [[21, 7, 6]]/[[21, 10, 9, 7]]                    | [[20, 12, 7]]/[[20, 12, 3, 3]]                    | [[21, 13, 7, 3, 3]]/[[21, 13, 3, 3, 3]]                             | [[21, 13, 7, 3, 3]]/[[21, 13, 4, 3, 3, 3]]                             | [[19, 13, 12, 11, 10, 9, 8]]/[[33, 22, 8, 7, 7, 5, 5]]                                       |
| Movers   |           | [4]/[4]                                                                 | [2]/[3]                                          | [3]/[4]                                           | [5]/[5]                                                             | [5]/[5]                                                                | [7]/[5]                                                                                      |
| SumS     |           | [19]/[19]                                                               | [10]/[15]                                        | [15]/[22]                                         | [44]/[45]                                                           | [44]/[45]                                                              | [47]/[26]                                                                                    |
| SumT     |           | [161]/[174]                                                             | [61]/[89]                                        | [71]/[73]                                         | [88]/[85]                                                           | [88]/[89]                                                              | [159]/[182]                                                                                  |
| SumT     | I         | [97]/[126]                                                              | [34]/[61]                                        | [51]/[50]                                         | [67]/[61]                                                           | [67]/[65]                                                              | [129]/[139]                                                                                  |
| SumT     | IP        | [78]/[92]                                                               | [27]/[42]                                        | [32]/[35]                                         | [41]/[42]                                                           | [41]/[42]                                                              | [77]/[95]                                                                                    |
| SumT     | IPU       | [0]/[0]                                                                 | [0]/[0]                                          | [0]/[0]                                           | [0]/[0]                                                             | [0]/[0]                                                                | [0]/[0]                                                                                      |
| SumT     | IU        | [19]/[34]                                                               | [7]/[19]                                         | [19]/[15]                                         | [26]/[19]                                                           | [26]/[23]                                                              | [52]/[44]                                                                                    |
| SumT     | P         | [142]/[140]                                                             | [54]/[70]                                        | [52]/[58]                                         | [62]/[66]                                                           | [62]/[66]                                                              | [107]/[138]                                                                                  |
| SumT     | PU        | [64]/[48]                                                               | [27]/[28]                                        | [20]/[23]                                         | [21]/[24]                                                           | [21]/[24]                                                              | [30]/[43]                                                                                    |
| SumT     | U         | [83]/[82]                                                               | [34]/[47]                                        | [39]/[38]                                         | [47]/[43]                                                           | [47]/[47]                                                              | [82]/[87]                                                                                    |
