; Metric   ; Filters   ; scrc-rcsc-wh                                                         ; eng-wh                                        ; chi-wh                                         ; kor-wh                                                           ; jap-wh                                                           ; right-center                                                                                    ;
; MaxTR    ;           ; [[36, 36, 21, 21, 9, 8, 8, 7, 5]]/[[36, 36, 24, 23, 23, 7, 5, 5, 5]] ; [[21, 21, 5, 4, 4]]/[[21, 21, 9, 8, 8, 7, 5]] ; [[20, 20, 15, 15, 6]]/[[20, 20, 15, 15, 3, 3]] ; [[22, 21, 16, 16, 6, 3, 3, 3, 3]]/[[22, 21, 16, 16, 4, 3, 3, 3]] ; [[22, 21, 16, 16, 6, 3, 3, 3, 3]]/[[22, 21, 16, 16, 4, 3, 3, 3]] ; [[18, 17, 17, 16, 16, 15, 15, 14, 11, 11, 7, 6, 6]]/[[37, 37, 25, 24, 24, 9, 8, 8, 7, 7, 5, 5]] ;
; MaxTR    ; I         ; [[36, 21, 9, 8, 8, 7]]/[[36, 24, 23, 23, 7, 5]]                      ; [[21, 5, 4]]/[[21, 9, 8, 8, 7]]               ; [[20, 15, 15, 6]]/[[20, 15, 15, 3]]            ; [[22, 16, 16, 6, 3, 3, 3, 3]]/[[22, 16, 16, 4, 3, 3]]            ; [[22, 16, 16, 6, 3, 3, 3, 3]]/[[22, 16, 16, 4, 3, 3]]            ; [[18, 17, 17, 16, 16, 15, 11, 11, 7]]/[[37, 25, 24, 24, 9, 8, 8, 7, 7]]                         ;
; MaxTR    ; IP        ; [[36, 21, 9, 8, 7]]/[[36, 24, 23, 7, 5]]                             ; [[21, 5, 4]]/[[21, 9, 7]]                     ; [[20, 15]]/[[20, 15, 3]]                       ; [[22, 16, 3, 3]]/[[22, 16, 4, 3]]                                ; [[22, 16, 3, 3]]/[[22, 16, 4, 3]]                                ; [[18, 17, 16, 16, 15, 7]]/[[37, 25, 24, 9, 8, 7, 7]]                                            ;
; MaxTR    ; IPU       ; [[]]/[[]]                                                            ; [[]]/[[]]                                     ; [[]]/[[]]                                      ; [[]]/[[]]                                                        ; [[]]/[[]]                                                        ; [[]]/[[]]                                                                                       ;
; MaxTR    ; IU        ; [[8]]/[[23]]                                                         ; [[]]/[[8, 8]]                                 ; [[15, 6]]/[[15]]                               ; [[16, 6, 3, 3]]/[[16, 3]]                                        ; [[16, 6, 3, 3]]/[[16, 3]]                                        ; [[17, 11, 11]]/[[24, 8]]                                                                        ;
; MaxTR    ; P         ; [[36, 36, 21, 21, 9, 8, 7, 5]]/[[36, 36, 24, 23, 7, 5, 5, 5]]        ; [[21, 21, 5, 4, 4]]/[[21, 21, 9, 7, 5]]       ; [[20, 20, 15]]/[[20, 20, 15, 3, 3]]            ; [[22, 21, 16, 3, 3]]/[[22, 21, 16, 4, 3, 3]]                     ; [[22, 21, 16, 3, 3]]/[[22, 21, 16, 4, 3, 3]]                     ; [[18, 17, 16, 16, 15, 15, 14, 7, 6, 6]]/[[37, 37, 25, 24, 9, 8, 7, 7, 5, 5]]                    ;
; MaxTR    ; PU        ; [[36, 21, 5]]/[[36, 5, 5]]                                           ; [[21, 4]]/[[21, 5]]                           ; [[20]]/[[20, 3]]                               ; [[21]]/[[21, 3]]                                                 ; [[21]]/[[21, 3]]                                                 ; [[15, 14, 6, 6]]/[[37, 5, 5]]                                                                   ;
; MaxTR    ; U         ; [[36, 21, 8, 5]]/[[36, 23, 5, 5]]                                    ; [[21, 4]]/[[21, 8, 8, 5]]                     ; [[20, 15, 6]]/[[20, 15, 3]]                    ; [[21, 16, 6, 3, 3]]/[[21, 16, 3, 3]]                             ; [[21, 16, 6, 3, 3]]/[[21, 16, 3, 3]]                             ; [[17, 15, 14, 11, 11, 6, 6]]/[[37, 24, 8, 5, 5]]                                                ;
; Movers   ;           ; [4]/[4]                                                              ; [2]/[3]                                       ; [3]/[4]                                        ; [5]/[5]                                                          ; [5]/[5]                                                          ; [7]/[5]                                                                                         ;
; SumS     ;           ; [19]/[19]                                                            ; [10]/[29]                                     ; [14]/[22]                                      ; [45]/[49]                                                        ; [45]/[49]                                                        ; [56]/[26]                                                                                       ;
; SumT     ;           ; [151]/[164]                                                          ; [55]/[79]                                     ; [76]/[76]                                      ; [93]/[88]                                                        ; [93]/[88]                                                        ; [169]/[196]                                                                                     ;
; SumT     ; I         ; [89]/[118]                                                           ; [30]/[53]                                     ; [56]/[53]                                      ; [72]/[64]                                                        ; [72]/[64]                                                        ; [128]/[149]                                                                                     ;
; SumT     ; IP        ; [81]/[95]                                                            ; [30]/[37]                                     ; [35]/[38]                                      ; [44]/[45]                                                        ; [44]/[45]                                                        ; [89]/[117]                                                                                      ;
; SumT     ; IPU       ; [0]/[0]                                                              ; [0]/[0]                                       ; [0]/[0]                                        ; [0]/[0]                                                          ; [0]/[0]                                                          ; [0]/[0]                                                                                         ;
; SumT     ; IU        ; [8]/[23]                                                             ; [0]/[16]                                      ; [21]/[15]                                      ; [28]/[19]                                                        ; [28]/[19]                                                        ; [39]/[32]                                                                                       ;
; SumT     ; P         ; [143]/[141]                                                          ; [55]/[63]                                     ; [55]/[61]                                      ; [65]/[69]                                                        ; [65]/[69]                                                        ; [130]/[164]                                                                                     ;
; SumT     ; PU        ; [62]/[46]                                                            ; [25]/[26]                                     ; [20]/[23]                                      ; [21]/[24]                                                        ; [21]/[24]                                                        ; [41]/[47]                                                                                       ;
; SumT     ; U         ; [70]/[69]                                                            ; [25]/[42]                                     ; [41]/[38]                                      ; [49]/[43]                                                        ; [49]/[43]                                                        ; [80]/[79]                                                                                       ;
